latent_dim,seed,mse_overall,mse_F1_dominant,mse_F2_secondary,mse_F3_minority_signal,mse_F4_rare_subtype,mse_F5_correlated_pair,frobenius_distance,normalized_frobenius,r2_F1_dominant,r2_F2_secondary,r2_F3_minority_signal,r2_F4_rare_subtype,r2_F5_correlated_pair,silhouette_rare,n_active_dims,n_collapsed_dims,active_fraction,mean_kl,max_kl,val_loss,val_recon,val_kl,n_epochs
50,0,0.0484795980155468,0.021084675565361977,0.039548616856336594,0.052053727209568024,0.14512868225574493,0.060125283896923065,1.328070896229066,0.026561417924581318,0.9979941844940186,0.9949867725372314,0.9894946217536926,0.9450406432151794,0.9872388243675232,0.41128218173980713,5,45,0.1,0.12206359952688217,1.7339057922363281,8.64376449584961,2.363689422607422,6.2800750732421875,92
50,1,0.042654916644096375,0.01804106868803501,0.030124453827738762,0.04323289543390274,0.1435069739818573,0.05088149011135101,1.3850292535727853,0.027700585071455706,0.9985758066177368,0.9961989521980286,0.9933608174324036,0.9169801473617554,0.9812647700309753,0.3075634837150574,5,45,0.1,0.12277226150035858,1.828484058380127,8.435009002685547,2.17415452003479,6.260854244232178,91
50,2,0.047983963042497635,0.026379330083727837,0.0355561338365078,0.0473034530878067,0.13973206281661987,0.05702948570251465,1.4762273336438083,0.029524546672876167,0.9979843497276306,0.9941009879112244,0.9917760491371155,0.9638369083404541,0.9801275730133057,0.3046937882900238,5,45,0.1,0.12270058691501617,1.8385696411132812,8.697944641113281,2.4000234603881836,6.297921180725098,87
50,3,0.045238908380270004,0.01952419802546501,0.0311629306524992,0.05499394237995148,0.1405639499425888,0.05354277044534683,1.2285433544104176,0.024570867088208354,0.9973489046096802,0.9966815114021301,0.9924235343933105,0.95570969581604,0.9827914237976074,0.34911996126174927,5,45,0.1,0.1233886182308197,1.8104315996170044,8.701623916625977,2.4229400157928467,6.278683662414551,91
50,4,0.05144720524549484,0.024361543357372284,0.034413907676935196,0.044966310262680054,0.18077674508094788,0.056942831724882126,1.2403770863534365,0.02480754172706873,0.9979583621025085,0.9957396388053894,0.9933410882949829,0.9822761416435242,0.982731819152832,0.4718722999095917,5,45,0.1,0.12802498042583466,1.7407877445220947,8.992310523986816,2.584419012069702,6.407891273498535,46
40,0,0.04630157724022865,0.020285896956920624,0.035252656787633896,0.049561966210603714,0.14283952116966248,0.05819905549287796,1.2214031521380158,0.024428063042760316,0.998016893863678,0.9948176145553589,0.9899778366088867,0.9474413394927979,0.9861391186714172,0.4035894274711609,5,35,0.125,0.1543949842453003,1.788183569908142,8.685057640075684,2.3203623294830322,6.3646955490112305,75
40,1,0.045005328953266144,0.022171298041939735,0.03293798863887787,0.04334182292222977,0.14212661981582642,0.0530225932598114,1.391664148203572,0.02783328296407144,0.9985542893409729,0.9958983659744263,0.993473470211029,0.9494946002960205,0.9824227094650269,0.33471420407295227,5,35,0.125,0.15128831565380096,1.7296849489212036,8.36559009552002,2.225353240966797,6.140236854553223,85
40,2,0.04756207391619682,0.02256804145872593,0.039654526859521866,0.04710269719362259,0.14331325888633728,0.053546831011772156,1.289067136983482,0.02578134273966964,0.997776985168457,0.9943206906318665,0.9916115999221802,0.9706109166145325,0.9852861762046814,0.3282370865345001,6,34,0.15,0.1565779149532318,1.819612741470337,8.72852897644043,2.418625593185425,6.309903144836426,60
40,3,0.04605165868997574,0.019422169774770737,0.035394638776779175,0.06008060649037361,0.132820725440979,0.0529586523771286,1.3213913210877817,0.026427826421755632,0.9976431727409363,0.9965916872024536,0.9923261404037476,0.9258185029029846,0.9827590584754944,0.35178816318511963,5,35,0.125,0.15396130084991455,1.814409852027893,8.531494140625,2.2665412425994873,6.264953136444092,99
40,4,0.049648210406303406,0.023719899356365204,0.033632174134254456,0.04571923986077309,0.17667551338672638,0.044654857367277145,1.2946913454729492,0.025893826909458982,0.9982683658599854,0.9950752258300781,0.9916973114013672,0.943491518497467,0.9823201894760132,0.36749982833862305,5,35,0.125,0.15295520424842834,1.720062494277954,8.711627960205078,2.569654703140259,6.141973495483398,100
